X Y Yaw
0.0000 0.0000 -0.0833
1.5927 -0.1329 -0.0831
3.1814 -0.2649 -0.0826
4.7623 -0.3951 -0.0817
6.3312 -0.5227 -0.0805
7.8844 -0.6467 -0.0788
9.4177 -0.7663 -0.0768
10.9273 -0.8805 -0.0742
12.4093 -0.9886 -0.0712
13.8596 -1.0895 -0.0677
15.2742 -1.1825 -0.0635
16.6494 -1.2666 -0.0586
17.9810 -1.3410 -0.0528
19.2651 -1.4047 -0.0461
20.4979 -1.4569 -0.0382
21.6752 -1.4966 -0.0290
22.7932 -1.5231 -0.0179
23.8479 -1.5354 -0.0048
24.8354 -1.5325 0.0112
25.7517 -1.5138 0.0308
26.5928 -1.4782 0.0552
27.3548 -1.4248 0.0865
28.0337 -1.3528 0.1276
28.6256 -1.2613 0.1835
29.1266 -1.1494 0.2633
29.5326 -1.0162 0.3835
29.8396 -0.8609 0.5767
30.0439 -0.6825 0.8983
30.1413 -0.4801 1.3743
30.1280 -0.2529 1.8547
30.0000 0.0000 2.1827
29.7553 0.2793 2.3712
29.3997 0.5850 2.4788
28.9411 0.9168 2.5449
28.3872 1.2744 2.5876
27.7460 1.6576 2.6158
27.0253 2.0661 2.6345
26.2327 2.4998 2.6463
25.3763 2.9582 2.6531
24.4637 3.4412 2.6559
23.5029 3.9485 2.6552
22.5016 4.4799 2.6517
21.4676 5.0350 2.6455
20.4089 5.6137 2.6368
19.3331 6.2158 2.6256
18.2482 6.8408 2.6119
17.1619 7.4886 2.5954
16.0820 8.1590 2.5761
15.0165 8.8516 2.5537
13.9730 9.5662 2.5278
12.9595 10.3026 2.4980
11.9837 11.0605 2.4636
11.0535 11.8396 2.4240
10.1766 12.6398 2.3785
9.3610 13.4607 2.3260
8.6144 14.3020 2.2655
7.9446 15.1636 2.1957
7.3596 16.0452 2.1155
6.8670 16.9465 2.0240
6.4747 17.8672 1.9207
6.1905 18.8072 1.8059
6.0223 19.7661 1.6815
5.9768 20.7433 1.5549
6.0511 21.7344 1.4392
6.2379 22.7333 1.3350
6.5294 23.7338 1.2415
6.9183 24.7298 1.1574
7.3970 25.7150 1.0812
7.9579 26.6834 1.0116
8.5934 27.6286 0.9471
9.2961 28.5447 0.8865
10.0583 29.4253 0.8286
10.8726 30.2643 0.7723
11.7315 31.0556 0.7167
12.6272 31.7930 0.6605
13.5524 32.4703 0.6028
14.4995 33.0813 0.5424
15.4609 33.6199 0.4779
16.4291 34.0799 0.4078
17.3965 34.4551 0.3304
18.3557 34.7394 0.2436
19.2990 34.9265 0.1453
20.2189 35.0104 0.0337
21.1107 34.9884 -0.0837
21.9751 34.8648 -0.2003
22.8135 34.6445 -0.3125
23.6272 34.3328 -0.4176
24.4176 33.9347 -0.5136
25.1861 33.4553 -0.5998
25.9341 32.8997 -0.6760
26.6629 32.2730 -0.7426
27.3739 31.5803 -0.8005
28.0684 30.8266 -0.8504
28.7479 30.0171 -0.8933
29.4137 29.1568 -0.9299
30.0672 28.2509 -0.9609
30.7098 27.3043 -0.9870
31.3428 26.3223 -1.0087
31.9676 25.3099 -1.0264
32.5855 24.2722 -1.0404
33.1980 23.2143 -1.0510
33.8065 22.1412 -1.0584
34.4122 21.0581 -1.0628
35.0000 20.0000 -0.6094
33.9598 20.7257 -0.6087
32.9204 21.4485 -0.6064
31.8830 22.1655 -0.6027
30.8483 22.8736 -0.5974
29.8173 23.5699 -0.5904
28.7910 24.2516 -0.5818
27.7702 24.9157 -0.5714
26.7559 25.5592 -0.5590
25.7490 26.1792 -0.5445
24.7504 26.7728 -0.5277
23.7611 27.3370 -0.5084
22.7820 27.8690 -0.4863
21.8140 28.3657 -0.4612
20.8581 28.8242 -0.4325
19.9151 29.2416 -0.4000
18.9860 29.6149 -0.3632
18.0717 29.9413 -0.3215
17.1732 30.2177 -0.2743
16.2913 30.4413 -0.2210
15.4271 30.6091 -0.1610
14.5813 30.7181 -0.0939
13.7551 30.7655 -0.0191
12.9491 30.7483 -6.2198
12.1645 30.6636 -6.1299
11.4022 30.5083 -6.0336
10.6629 30.2797 -5.9322
9.9478 29.9747 -5.8278
9.2575 29.5918 -5.7275
8.5921 29.1341 -5.6357
7.9515 28.6055 -5.5525
7.3359 28.0098 -5.4778
6.7451 27.3511 -5.4107
6.1792 26.6332 -5.3507
5.6380 25.8601 -5.2967
5.1217 25.0357 -5.2482
4.6301 24.1639 -5.2044
4.1633 23.2487 -5.1645
3.7212 22.2939 -5.1282
3.3038 21.3036 -5.0949
2.9111 20.2815 -5.0641
2.5431 19.2317 -5.0355
2.1997 18.1581 -5.0087
1.8810 17.0646 -4.9836
1.5868 15.9551 -4.9597
1.3173 14.8336 -4.9370
1.0723 13.7040 -4.9151
0.8519 12.5701 -4.8938
0.6559 11.4360 -4.8731
0.4845 10.3055 -4.8527
0.3376 9.1826 -4.8323
0.2151 8.0712 -4.8119
0.1171 6.9753 -4.7912
0.0435 5.8987 -4.7700
-0.0058 4.8454 -4.7480
-0.0318 3.8169 -4.7280
-0.0391 2.8090 -4.7119
-0.0325 1.8162 -4.7003
-0.0168 0.8333 -4.6935
